BLEU	sacre_BLEU	sacre_CHRF2
0.00	3.40	15.70
0.00	3.44	18.18
0.00	4.55	20.78
0.00	6.05	14.23
0.00	6.82	15.75
0.00	3.01	13.55
0.00	3.74	13.33
0.00	1.77	6.50
0.00	1.18	16.89
0.00	1.81	18.84
0.00	2.07	19.92
0.00	4.55	17.93
0.00	2.61	8.03
0.00	4.81	18.85
0.00	2.85	14.07
0.00	2.63	15.83
0.00	2.42	11.00
0.00	5.40	20.51
0.00	4.11	22.92
0.00	5.44	18.06
0.00	5.44	17.49
0.00	0.00	9.36
0.00	2.44	21.01
0.00	2.74	9.35
0.00	1.70	16.04
0.00	2.25	19.17
0.00	2.83	12.53
0.00	1.79	17.51
0.00	2.16	18.93
0.00	2.41	15.19
0.00	2.95	19.26
0.00	2.83	16.94
0.00	3.25	14.30
0.00	1.69	17.16
0.00	5.11	15.31
0.00	6.34	17.36
0.00	4.32	18.77
0.00	3.13	16.33
0.00	3.10	8.46
0.00	4.14	17.53
0.00	2.05	16.84
0.00	3.25	11.20
0.00	2.16	18.19
0.00	6.05	9.66
0.00	2.16	18.41
0.00	1.57	18.17
0.00	3.38	13.62
0.00	2.74	8.67
0.00	0.00	1.72
0.00	1.31	5.06
0.00	0.00	2.68
0.00	2.10	3.96
0.00	2.14	6.42
0.00	3.34	7.31
0.00	6.33	14.58
0.00	3.38	14.35
0.00	2.85	9.08
0.00	3.46	16.87
0.00	3.74	17.57
0.00	2.55	18.87
0.00	1.83	18.53
0.00	3.41	11.92
0.00	1.37	18.63
0.00	1.76	20.58
0.00	7.14	13.11
0.00	4.02	12.90
0.00	3.92	16.63
0.00	1.76	18.63
0.00	4.14	15.55
0.00	1.90	19.93
0.00	3.40	16.25
0.00	2.84	14.59
0.00	2.14	10.18
0.00	3.38	13.43
0.00	3.25	7.51
0.00	3.70	9.76
0.00	3.25	9.36
0.00	3.10	6.03
0.00	3.40	15.99
0.00	1.77	6.18
0.00	3.74	17.38
0.00	0.00	1.97
0.00	0.00	3.92
0.00	2.59	18.44
0.00	2.29	15.40
0.00	2.14	9.89
0.00	3.10	6.56
0.00	1.69	17.36
0.00	1.90	17.69
0.00	3.72	13.12
0.00	3.06	18.80
0.00	2.91	18.78
0.00	2.55	15.39
0.00	1.96	16.88
0.00	0.83	16.06
0.00	2.07	16.92
0.00	3.18	16.53
0.00	4.55	18.65
0.00	2.37	20.24
0.00	2.13	18.79
0.00	1.22	18.01
0.00	2.61	13.96
0.00	2.61	9.64
0.00	4.11	17.10
0.00	2.14	7.52
0.00	1.45	17.93
0.00	6.80	15.01
0.00	6.23	11.03
0.00	6.32	16.32
0.00	2.37	18.26
0.00	2.74	8.83
0.00	2.61	9.34
0.00	1.87	18.35
0.00	1.92	17.22
0.00	3.64	16.27
0.00	3.13	15.46
0.00	3.38	13.55
0.00	3.39	7.61
0.00	3.40	16.28
0.00	3.36	17.34
0.00	3.18	18.13
0.00	4.55	16.82
0.00	2.61	9.97
0.00	2.66	14.81
0.00	3.39	12.16
0.00	2.72	11.94
0.00	1.77	5.00
0.00	2.05	15.52
0.00	3.40	11.68
0.00	1.82	17.65
0.00	2.13	19.04
0.00	1.82	18.56
0.00	3.18	18.70
0.00	1.54	18.08
